,TEMA,TEXT
2438,mundo,"Un empleado del laboratorio de una clínica de fertilidad en la ciudad neerlandesa de Leiden y con una enfermedad genética concibió al menos 11 hijos utilizando en secreto su propio esperma entre 1979 y 1985, lo que logró ocultar usando el número de registro de donante de otro hombre. El empleado en cuestión todavía está vivo, pero se niega a cooperar en la investigación del MCK, centro que gestiona los archivos de la clínica SMCG de Leiden, que ya no existe, para tratar de localizar a las mujeres tratadas en el centro, posibles descendientes, y exempleados, para aclarar lo ocurrido, según publicó este miércoles la emisora local Omroep West. Las inseminaciones tuvieron lugar entre 1979 y 1985 y el empleado usó su propio esperma en los tratamientos, sin estar registrado oficialmente como donante de semen, y usando en la administración el número de registro de donante de otro hombre, según admitió el propio empleado de la clínica ya en 2017 cuando fue localizado por dos de sus descendientes biológicos. Demandan a un donante de esperma en Países Bajos vinculado con 550 hijos Aunque no se ha hecho público hasta este miércoles, este polémico caso se descubrió el año pasado, cuando dos personas nacidas por donación de esperma y emparentadas sobre el papel, se dieron cuenta de que su ADN no coincidía. Al hacerse las comparaciones en una base de datos internacional, MyHeritage, descubrieron que una coincidía con el ADN de otras dos personas más también nacidas por donación y con sus respectivas madres tratadas en SMCG. En 2015, este trabajador de laboratorio fue diagnosticado con una enfermedad hereditaria, aunque por motivos de privacidad esta condición no ha trascendido. ""Es una anomalía genética que se transmite a la siguiente generación en el 50% de los casos. La gente tiene derecho a saber esto"", señaló Arne van Heusden, director de MCK, que subrayó que esta enfermedad ""no pone en riesgo la vida"" de quienes la padecen. Un donante de esperma busca en EEUU a sus 96 hijos biológicos Los casos de ginecólogos que han usado su propio esperma en tratamientos de fertilidad salen cada vez más a la luz en Países Bajos. Se identificaron al menos diez ginecólogos que usaron su semen sin conocimiento de las mujeres que querían quedarse embarazadas en sus clínicas. Dos de ellos fueron el director de una clínica, Jan Karbaat, con 81 hijos confirmados; y el ginecólogo Jan Wildschut, que engendró al menos 47 niños. Uno de los últimos casos había salido a la luz fue en noviembre de 2022. Un neerlandés, que murió recientemente de un cáncer de esófago, donó su esperma a mujeres con las que contactó a través de internet y habría engendrado al menos 80 niños en Países Bajos."
2441,lugo,"Ignacio Illán Sastre tiene 18 años y un talento para la danza que cultiva desde que tenía siete. Su capacidad y su trabajo le han llevado a conseguir ahora un Premio Extraordinario de la Xunta de Enseñanzas Artísticas. Se trata de un reconocimiento que da aire al joven artista lucense, que dice que el premio le sirve, sobre todo, ""porque los bailarines solemos ser muy autocríticos, duros con nosotros mismos, de modo que esto te ayuda a reconocerte a ti mismo"". Ignacio Illán se ha formado desde niño en el Conservatorio de Danza de Lugo, centro en el que hay orgullo por el talento demostrado por un nuevo alumno. Él confiesa que entró en la danza un poco por casualidad, que en realidad se apuntó a las clases porque su hermana iba al Conservatorio. Pero la disciplina a la que llegó por azar le enganchó y hoy va camino de ser profesional. Bailes gallegos: estas son las danzas típicas de Galicia El premio de la Xunta llega como reconocimiento a una trayectoria extraordinaria en lo que fue su tiempo de formación en Galica e Illán Sastre está ahora en Alemania, donde pasará los tres próximos cursos. Por medio de otro exalumno del Conservatorio de Danza de Lugo supo de la convocatoria de audiciones en la Academia de Danza del Hochschule für Musik and Theater de Múnich. Se presentó y fue uno de los elegidos. Ahora se ve allí por mucho tiempo. En Alemania se enfrenta a un trabajo exigente, pero con el que está encantado. Asegura que está ""aprendiendo bastante, con gente que trabaja muy bien"" y reconoce que, cuando acabe su formación dentro de tres años, probablemente se planteará seguir en Alemania, que es ""un buen país para la danza"". Aitor Castro: ""Cansa más bailar salsa que jugar al fútbol"" De momento se centra en seguir aprendiendo en un centro que es formativo pero que también está vinculado al mundo de la creación de espectáculos artísticos y disfruta de la experiencia de trabajar con alumnos procedentes de medio mundo. El Conservatorio de Danza de Lugo, del que han salido bailarines que han logrado destacar en media Europa, destacaba que, al igual que Ignacio Illán Sastre, otros dos ex alumnos del centro, Samuel López Legaspi y Xián Blanco Carbón, también fueron Premio Extraordinario en su año de graduación.  Samuel López Legaspi también está desarrollando su carrera de danza en Alemania y Xián Blanco Carbón lo hace en Bélgica. "
2442,ribeira-sacra,"El Bodegón Ribeira Sacra fue escenario este miércoles de una comida muy especial, pues no es nada habitual que alguien celebre su llegada al mundo hace 106 años. Ese es el tiempo que lleva viviendo Alfonso Llano, usuario de la residencia de Sober, donde habita desde hace 15. Su familia y amigos lo sorprendieron con una celebración en el citado establecimiento monfortino, tarta incluida. Alfonso Llano es uno de los nueve vecinos –tres hombres y seis mujeres– de la capital de Amandi que han alcanzado o superado el siglo de existencia. Con su acordeón ha animado los cumpleaños y celebraciones del resto de usuarios de la residencia, por la que suele caminar un promedio de dos kilómetros cada día, según afirma su familia, que destaca el carácter afable y honesto, el buen humor y la actitud positiva de Alfonso. El cumpleañero, con su tarta. EP En su afán por ayudar a los demás, desempeñó numerosos trabajos para que su único hijo, Pedro, residente en Vigo, estudiase en la universidad –Alfonso no pudo por cuestiones económicas, aunque le habría gustado ser maestro– y aprendiese idiomas en el extranjero. El currículum de Alfonso es muy extenso. Fue labrador, cazador, taxidermista, castrador de animales, albañil, cantero, fontanero, carpintero, zapatero, soldador, mecánico y cartero.  En la Guerra Civil estuvo destinado en Teruel, Ávila, Segovia y Burgos y lo nombraron responsable de arreglos de calzado y control de materiales, motivo que le llevó a desplazarse con un superior justo el día que muchos de sus compañeros murieron en un combate. Su padre logró que volviese a casa al tener ya dos hijos en la guerra. Eran cinco hermanos y Alfonso es el único que queda con vida."
2443,lugo,"La Unión Europea financiará con 7 millones de euros el proyecto Nutritive para valorizar el purín en las granjas gallegas, que promueve la consultora de innovación lucense Medrar Innovation Office y en el que participa otra empresa de la provincia de Lugo, el Grupo Aresa, especializado en fertilizantes. El consorcio coordinado por Medrar que concurrió con esta iniciativa al programa de I+D+i Horizonte Europa está integrado por 18 socios de varios países del Viejo Continente, entre ellos Portugal e Irlanda, y otros cuatro de China. Entre los requisitos de la convocatoria figura que el consorcio que aspira a las ayudas esté integrado por participantes de diversas nacionalidades. Además de por estas dos firmas lucenses, Galicia está representada en este ambicioso proyecto por el Centro de Investigacións Agrarias de Mabegondo (A Coruña), que depende de la Axencia Galega de Calidade Alimentaria (Agacal); la empresa biotecnológica compostelana Zinpro y la USC, a través del grupo de investigación Biogroup de la Escola Técnica Superior de Enxeñaría (Etse) y la facultad de Química. El Ceo y fundador de Medrar, Hugo Criado, asegura que el purín es ""un residuo al que le podemos dar valor"", que actualmente «se gestiona como hace 20 años» y que está suponiendo ""un problema"" en comarcas gallegas como A Limia (Ourense) o el Deza (Pontevedra), por ejemplo. Este veterinario vilalbés destaca la importancia de la concesión de esta ayuda de la Unión Europea ""no solo por una cuestión económica, sino también por su impacto porque dentro de tres años aportaremos soluciones para resolver este problema"". En este proyecto de I+D+i figuran 18 socios europeos y otros cuatro de China Hugo Criado explica que de lo que se trata es de ""convertir el purín en el oro negro"" con el fin de que aporte ""un valor añadido, que le paguen al ganadero y no sea un problema medioambiental"". Este proyecto, que llevan a cabo las doctoras en Ingeniería Química Leticia Regueiro y Lucía Argiz, especializadas en medio ambiente, prevé modelar la tipología de las granjas gallegas porque, según precisa Hugo Criado, ""no se puede aplicar la misma norma a una SAT de A Pastoriza con 1.000 vacas que a una granja en ecológico de A Ulloa de 50"". Uno de los posibles usos que se puede dar a estos residuos que generan las explotaciones ganaderas, más allá de como abono, es para la producción energética en plantas de biogás. Lence y Norvento trabajarán juntos en renovables y biogás La consultora de innovación Medrar, que echó a andar hace un lustro en Vilalba y que cuenta ahora también con sede en Lugo, ha dirigido en los últimos dos años más de una treintena de proyectos de I+D+i de empresas, incluido el de purín, que obtuvieron unos 20 millones de euros en total en ayudas de diferentes administraciones públicas. Una planta de biogás que obtuvo financiación Hace apenas un mes trascendía que otro proyecto con firmas lucenses, denominado Lugaz, que consiste en construir una planta de biogás para utilizar residuos lácteos, recibirá 4,5 millones de euros de la Unión Europea, con cargo a otro programa, para llevarlo a cabo en el plazo de dos años. Esta iniciativa es íntegramente lucense, pues participan el Grupo Lence, Norvento, Agroamb y Medrar. La planta que se ubicará en el polígono industrial de O Ceao supondrá una inversión de unos 7,5 millones de euros, de los que la ayuda europea supone el 60%. Se prevé que la planta trate una media de unas 55.000 toneladas anuales de residuos, que procederían de las tres plantas lácteas de Leche Río y Leyma y de las 400 explotaciones ganaderas que son proveedoras de este grupo lucense. Además se estima que esta planta permitirá reducir la emisión a la atmósfera de unas 37.300 toneladas de dióxido de carbono (CO²)."
2444,lugo,"Paula Alvarellos cumplió 60 años a principios de diciembre y ese fue el único día que se pidió libre en muchos meses. Se marchó a Portugal con su marido, el arquitecto Guillermo Carro, pero trabajó gran parte de la jornada. Si no son las ausencias son los teléfonos la tiranía que sufren hoy en día los políticos y sus familias. Lo sabe bien la —desde mañana— exalcaldesa de Lugo, Lara Méndez. Se perdió la infancia de su hija y otros muchos momentos familiares, buenos y malos, lo que sin duda influyó en la decisión de poner fin a la política municipal en este momento.  Marta, la veinteañera y única hija de Alvarellos, hace años que está fuera de casa. Completa su formación como bióloga en la Universidad de Padua (Italia) y su madre disfrutó apenas unos días de ella esta Navidad, en una breve visita a Lugo. El resto de las fiestas Alvarellos trabajó. O, más bien, puede que empezara a prepararse para lo que se le podía venir encima. Porque el salto de Méndez al Parlamento fue sorprendente por el momento elegido, pero no inesperado y ambas eran conscientes de esa realidad. La decisión se desencadenó hace unos diez días y se comunicó en el momento en que se consideró que el relevo en el Concello estaba listo. Aunque luego se necesitarían algunas horas más para cerrarlo, ya que había alguna otra persona con la misma legítima aspiración que Alvarellos. Cuatro días después sigue sin confirmarse oficialmente, pero la balanza está decantada. El encaje de Fernández demora la confirmación oficial de Alvarellos como alcaldesa Abogada con un despacho en sociedad en la Praza de Santo Domingo hasta que en 2019 se embarcó en la candidatura de Méndez tras años militando sin aspiraciones, Alvarellos nunca tuvo dificultad para dar un paso al frente cuando consideró que hacía falta y que estaba preparada. Es natural de Ponteceso (A Coruña), hija de una familia numerosa con varias maestras, se licenció en Derecho en la Universidad de Santiago, se casó con un lucense y ejerció y asumió distintas responsabilidades a lo largo de su trayectoria profesional. Además de ser abogada, tiene un máster en tributación y asesoría fiscal, fue profesora del Máster de Abogacía de la USC y de IFFE Business School y dirigió la escuela de práctica jurídica del Colegio de Abogados de Lugo, de cuya directiva también formó parte cuando al frente de ella estaba el decano José Antonio López Graña. Posteriormente fue candidata al decanato, enfrentándose a otro compañero de esa misma directiva de la que ella formaba parte, Félix Mondelo. Fue este quien se impuso y no fue esto un impedimento para que, tras el recuento electoral, Alvarellos acompañara al equipo ganador en la celebración, lo que da muestra de su capacidad para encajar contrariedades. Curtida en pleitos y mediaciones, su capacidad para tender puentes y hacer equipos es una de sus cualidades. La ha demostrado también en los cuatro años que lleva en el gobierno de la ciudad, en el ámbito laboral y también con sus socios nacionalistas, que no tienen reproches para ella. Y sin duda le hará mucha falta en su nueva responsabilidad. Alvarellos es una persona generalmente de formas exquisitas, aunque con un punto ácido en ocasiones, notorio en el uso que hace de las redes sociales y que ha ido dejando ver también cada vez más en el día a día, especialmente en la relación con la oposición. Es, asimismo, una persona muy imbricada en la vida social de la ciudad, especialmente en círculos acomodados del centro, donde reside. Con sus inseparables pendientes de perla, a la futura alcaldesa de Lugo le gusta cuidar la imagen, los espacios y a las personas. Trabajó por la inserción sociolaboral de los expresos en la asociación Concepción Arenal, donde primero fue colaboradora y después presidió, hasta su salto a la política. Hace años integró en su despacho profesional al abogado colombiano Waldir Sinisterra, que llegó a Lugo asilado tras varios intentos de asesinato a manos de los paramilitares. Sinisterra tieye ya despacho propio y formó parte también de la candidatura de Méndez en la última cita con las urnas. Paula Alvarellos suma apoyos para relevar a Lara Méndez en la alcaldía A su llegada al Concello, Alvarellos dispuso abrir las puertas del consistorio al completo, en vez de media hoja como hasta entonces, y retirar una palmera seca que había en la entrada de las oficinas municipales de la Ronda da Muralla. No sabía dónde se metía con tal pretensión, pero le fue útil para conocer la burocracia y las inercias de la casa. Acabó priorizando operaciones más urgentes, como ordenar e impulsar el área de personal. Logró calmar los ánimos tras años muy convulsos aprobando una nueva relación de puestos de trabajo e implantó medidas poco populares pero que acabaron siendo aceptadas, como el control horario. Muchas, en consenso con los sindicatos, como los criterios de reparto de la productividad. Esa mano izquierda la combina con carácter y firmeza, como la que tuvo para llevar adelante el cese de la jefa de Persoal. Esa medida no le salió tan bien y ahora debe devolverla a su puesto por sentencia judicial. Al frente de la concejalía de Gobernanza (Persoal y Recursos Internos), lo que le dio el apodo de gobernanta, dio un empuje a la administración electrónica y a la simplificación de procedimientos administrativos y de contratación. Durante un año sumó, además, el área de Urbanismo, debido a la baja de su titular, y esta fue el área que le acabó siendo encomendada en el actual mandato. A eso sumó la portavocía del área socialista del gobierno, por lo que, aun siendo la número tres, acabó convirtiéndose en la segunda de Méndez. Todo hace indicar que ahora a la gobernanta le toca tomar el mando."
2445,lugo,"El personal docente de la enseñanza concertada, que son unos 750 profesores en la provincia de Lugo y unos 7.000 en toda Galicia, ha vuelto a exigir su homologación salarial con el de la pública. Así se puso de manifiesto durante la reunión que mantuvo este miércoles el secretario general en Galicia del sindicato mayoritario de la enseñanza concertada FSIE, el lucense Rodolfo Castro, con el director xeral de Centros e Recursos Humanos de la Xunta, Jesús Manuel Álvarez. FSIE Galicia criticó que a este encuentro, que calificó como «crucial» para el personal de la concertada y por el que llevaba «meses esperando», no asistiese el conselleiro Román Rodríguez. Este sindicato reclama la homologación salarial porque permitiría ""establecer equidad y justicia en los ingresos de los profesionales del sector"". Activada la vigilancia en las playas mariñanas ante la llegada de pellets Encima de la mesa también se pusieron otros dos asuntos. Uno de ellos es un acuerdo de jubilación parcial, que afecta a unos 750 profesores de la enseñanza concertada en Galicia, para ""garantizar así una transición laboral efectiva y justa para estos trabajadores"". Además demanda el pago del complemento correspondiente a los coordinadores de equipos de dinamización de  Lingua Galega de los centros concertados. ""Es una medida que no supondría más de 240.000 euros en el presupuesto y que es totalmente injusto para los coordinadores de Dinamización da Lingua Galega de la concertada, ya que no lo cobran y sus homólogos de la pública sí"", afirmó Rodolfo Castro, que añadió que es además ""un tema de falta de legalidad, ya que se está incumpliendo el decreto 79/2010""."
2446,lugo,"Mundiario premia a título póstumo a Francisco Abuín Mundiario, cuyo editor es José Luis Gómez —en la foto—, entregará el próximo día 18 su segundo premio de periodismo, que ha concedido a título póstumo al abogado lucense Francisco Abuín Porto, que residía en A Coruña. El acto tendrá lugar a las 19.30 horas en el centro cultural de Oleiros. Alba Messa actúa en México y publica un corrido tumbado La cantante y actriz lucense Alba Messa —en la foto— está en México representando el musical ‘Siete veces adiós’ y acaba de publicar el corrido tumbado ‘Enchilangadas’ en homenaje a este país. Interpreta el tema junto a su compañera de reparto, la cantautora chilena-peruana Lucía Covarrubias. Grande Amore y Violeta Mosquera, en ‘Un país para escucharlo’ Grande Amore, el proyecto musical de Nuno Pico de O Valadouro —en la foto—, y Violeta Mosquera del dúo Bala fueron dos de los protagonistas de ‘Un país para escucharlo’. El programa presentado por Ariel Rot, que estuvo dedicado a Galicia, regresó el pasado martes a la parrilla de La 2 de TVE. RUBÉN BALMASEDA: La alcaldesa Lara Méndez, en uno de sus últimos actos como alcaldesa, recibió a representantes de la Plataforma Campus Lucense que le pedían el apoyo del Concello al mantenimiento de las titulaciones actuales de la USC en Lugo, una iniciativa que como era de esperar recibió todo el respaldo de la regidora y de su equipo. "
2448,galicia,"Las temperaturas experimentarán un leve ascenso generalizado este fin de semana del 13 de enero en la Península Ibérica, a la espera de la borrasca Hipólito que hará que desciendan de nuevo la próxima semana, y que traerá precipitaciones en el norte y noroeste peninsular, según el portavoz de la Agencia Estatal de Meteorología (Aemet) Cayetano Torres. Torres ha precisado que, durante las pasadas 24 horas, las precipitaciones han sido más abundantes en la cornisa cantábrica, con hasta 13 litros por metro cuadrado (l/m2) en Gijón, siendo en forma de nieve en las montañas de la mitad oriental y áreas de León, norte de Zamora, zona central del Sistema Central y este de Guadalajara.  Lluvias este sábado y domingo en Galicia  El sábado perdemos la influencia anticiclónica quedando influenciados por las bajas presiones con circulación del sur. De este modo, se esperan intervalos nubosos, con chubascos en todo el territorio más intensos en el oeste y sur de la comunidad, con la entrada por el nordeste de este frente atlántico asociado a la borrasca Hipólito. Las temperaturas experimentarán un ascenso, más acusado en las mínimas. El viento soplará del sur, moderado en general, fuerte en el litoral y zonas altas. Gélido viernes en la provincia con mínimas de -5 grados en Sarria y Portomarín Además, hay baja probabilidad de nieve y la cota subirá a 1.800/2.000 en los montes galaico-leoneses. El viento soplará de Levante en Alborán, con intervalos de fuerte en el Estrecho; en Ampurdán soplará de componente norte, tendiendo a suroeste; será de suroeste en el área mediterránea y componente sur en Galicia con algún intervalo de fuerte en la zona occidental de A Coruña. El domingo un frente se acercará a Galicia durante este día, dejando cielos con más nubes cuanto más al oeste, donde se registrarán las lluvias más frecuentes e intensas. Las temperaturas experimentarán un ascenso entre ligero y moderado. Los vientos soplarán de componente sur, moderados, con intervalos fuertes en el litoral atlántico. Se espera que la borrasca Hipólito también provoque una bajada de temperaturas generalizada en toda la Península Ibérica a partir de la próxima semana.  "
2450,noticia-patrocinio,"Ubicada en pleno corazón de la ciudad de Vitoria, Perfumería Ibarrondo cuenta con más de 70 años de historia, caracterizándose por ofrecer un trato personalizado y exclusivo desde que abriera sus puertas en 1950, acumulando millones de clientes plenamente satisfechos a lo largo de su trayectoria.  Todo un referente, la perfumería de la capital alavesa ha sido reconocida como la mejor perfumería física de España en la categoría independiente, siendo reconocida también por la mejor imagen, en la ceremonia de entrega de los Premios Perfumería 2023 que se celebró el pasado mes de mayo en Madrid.  Un galardón que es un premio a sus 73 años de historia, que han hecho que Perfumería Ibarrondo sea un destino obligatorio para todos aquellos turistas que visitan la ciudad de Vitoria, acumulando tres generaciones diferentes de clientes.  Una perfumería cuyo éxito se basa en una fusión perfecta entre el arte ancestral de la perfumería y las tendencias modernas, uno de sus productos estrella es Agua Blanca, la colonia que huele a Vitoria, y que le ha permitido llegar a países de todo el mundo.  Agua Blanca, un perfume exclusivo de la más alta calidad  La colonia Agua Blanca es un perfume creado por el prestigioso perfumista Jimmy Boyd en colaboración con Ibarrondo, que se caracteriza por ser una fragancia que ha sabido capturar a la perfección la esencia pura de la ciudad de Vitoria, hasta el punto de que se ha convertido en todo un símbolo de la capital alavesa, así como de todos los vitorianos.  Se trata de una colonia altamente versátil, exclusiva y original, ideal para llevar en cualquier época del año, tanto en el día a día, como en las ocasiones más especiales. Una colonia diseñada para viajar y perfumarse al mismo tiempo, y para recorrer el mundo con quien la lleva puesta.  Con una composición acorde de notas cítricas y amaderadas, representa a la perfección la habilidad que tiene la perfumería para crear aromas únicos que perduran con el paso del tiempo.  Además, la fragancia viene en una botella de cristal en formato spray disponible en diferentes tamaños para elegir, que hacen que sea muy fácil de transportar, pudiendo llevarla siempre encima.  Puedes hacerte con la botella de cristal con spray de 60 o 100 ml de Agua Blanca por el mundo, con el frasco de 200 ml de Agua Blanca Casa o, si lo prefieres, también está disponible el gel Agua Blanca Toilette de 500 ml. Elijas la que elijas te sorprenderá y conquistará.  Y, en caso de que no tengas la oportunidad de acudir a Vitoria, puedes comprar la colonia Agua Blanca en la tienda online de Perfumería Ibarrondo, desde cualquier parte y sin necesidad de desplazarte, recibiéndola cómodamente en tu domicilio en un plazo de entre 24 y 48 horas. Y si tu pedido supera los 50 euros, no tendrás que pagar gastos de envío.  Un negocio que se ha adaptado a la era digital, manteniendo la esencia de siempre  Una de las claves de su éxito es que Perfumería Ibarrondo ha sabido adaptarse a la era digital y sumarse a las nuevas tecnologías, permitiendo la compra de cualquiera de sus productos de forma online y teniendo presencia en redes sociales como Instagram, donde cuenta con más de 19.000 seguidores.        Ver esta publicación en Instagram Una publicación compartida por I B A R R O N D O desde 1950 (@perfuibarrondo) Una adaptación a la era digital manteniendo su esencia de siempre, y es que, desde Perfumería Ibarrondo siguen ofreciendo el trato cercano y exclusivo a sus clientes que les caracteriza desde hace más de 70 años, que tal y como ellos aseguran, es su mejor sello de calidad.  De esta forma, Perfumería Ibarrondo consigue llegar a clientes de todas las edades y de todas las partes de España, e incluso del mundo, contando con una gran comunidad detrás que le ha permitido plantar cara a las grandes cadenas de perfumería.   "
2451,economia,"El fundador y primer accionista de Inditex, Amancio Ortega, a través de su brazo inversor Pontegadea, ha comprado a Blackstone una nave logística en Países Bajos por 100 millones de euros ocupada por la firma de moda Primark, según han confirmado a Europa Press en fuentes conocedoras de la operación.  En concreto, dicha adquisición, la primera de este 2024 del fundador de Inditex, consiste en un centro de distribución de 87.000 metros cuadrados en Roosendaal desde donde la cadena irlandesa distribuye a mercados como Países Bajos y Francia, según ha adelantado el portal inmobiliario Reactnews.  Amancio Ortega se convierte en el primer español en superar los 100.000 millones de dólares En la plataforma logística de Países Bajos, el operador de transportes DSV será el inquilino formal con un contrato con una duración de diez años, pero trabajando en exclusiva con los artículos de Primark.  De esta forma, Pontegadea continúa con sus inversiones inmobiliarias tras ingresar en 2023 un total de 2.217 millones de euros en concepto de dividendos de Inditex, por encima de los 1.718 millones que percibió por este concepto en 2022.  El fundador de Inditex invierte parte de los dividendos que recibe de Inditex en el sector inmobiliario.  Ortega posee la mayor inmobiliaria española, centrada en la compra y gestión de grandes edificios, con una cartera de activos inmobiliarios integrada fundamentalmente por edificios de oficinas, no residenciales, situados en el centro de grandes ciudades en España, Reino Unido, Estados Unidos y Asia. "
2453,deporte-local-lugo,"El central del CD Lugo Andrés Castrín es baja para el partido de este sábado contra el Tarazona después de sufrir una distensión muscular en el bíceps femoral de su pierna derecha. Paulo Alves: ""Hay que mantener la actitud del día del Atlético"" Una lesión que, según informaron los servicios médicos del club albivermello, le mantendrá alejado de los terrenos de juego ""alrededor de diez días"", por lo que el defensa gallego se perderá también el próximo partido liguero contra el Nástic.  Suplente en las doce primeras jornadas de Liga, Castrín disfrutó de su primera titularidad el pasado 19 de noviembre ante el Sabadell. Desde entonces, ha sido un fijo en la alineación del Lugo, primero con Pedro Munitis y después con Paulo Alves. ""Fue un espectáculo absoluto"""
2454,deporte-local-lugo," El croata Veljko Mrsic, entrenador del Río Breogán, afirmó este viernes que su equipo debe tener ""los pies en el suelo"" pese a sus últimas dos victorias ante el Coviran Granada y el Pinar Karsiyaka. ""Tenemos que tener los pies en el suelo porque todavía no hemos demostrado nada. Estamos en una liga muy competitiva, no tenemos que obsesionarnos con el resultado final. A los jugadores les digo que solo hay que obsesionarse con trabajar y mejorar día a día"", afirmó.  Mrsic: ""McLemore aún nos puede dar mucho más"" En su comparecencia ante los periodistas, reconoció que esos últimos triunfos dan ""confianza"" al equipo, aunque ""a veces"" las derrotas también ayudan, puntualizó, a estar ""más en alerta"" porque ""te obligan a estar más concentrado en los partidos para salir de esa mala racha"". Mrsic ve normales los altibajos que está sufriendo el lituano Matas Jogela en su juego porque ""es joven y es la primera vez que sale de su país"", e insistió en que es un jugador ""muy importante"" para el Breogán porque ""el baloncesto no son solo puntos, son muchas otras cosas"".  El técnico breoganista también mandó un mensaje a su compatriota Matej Rudan, fichado el pasado verano del Mega Basket serbio. ""Está entrenando bien, mejorando. Ahora está jugando más minutos por la baja de Diouf, y eso seguro que también le ha ayudado. Pero creo que puede dar mucho más. Tiene que cambiar su manera de pensar, tiene que estar más concentrado y no pensar tanto en tonterías como si fue falta o no porque eso te quita concentración"", afirmó.  Por último, dejó claro que no se fía de la mala racha que atraviesa el Valencia Basket, al que visitan este domingo en La Fonteta, porque tiene una plantilla ""impresionante"" que le permite realizar muchas rotaciones sin que lo noten.  Han fichado a nuestro mejor jugador ""el estadounidense Justin Anderson- y allí casi no juega, que más puedo decir"", recordó Mrsic, que apuntó a la defensa como una de las principales virtudes del bloque dirigido por Alex Mumbrú. "
